	опыт работы	регион	пол	возраст	образование	вуз	язык	занятость	желаемая з/п	Последнее место работы
12	20 лет	Москва	Мужчина	39 лет	Неоконченное высшее образование	Московский государственный технический университет радиотехники, электроники и автоматики, Москва	Русский — Родной Английский — B2 — Средне-продвинутый Немецкий — A1 — Начальный	Занятость: полная занятость	60 000 ₽ на руки	Декабрь 2014 — по настоящее время9 лет 6 месяцев
13	7 лет	Новосибирск	Мужчина	34 года	Высшее образование	Братский государственный университет, Братск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	140 000 ₽ на руки	Декабрь 2021 — Декабрь 20232 года 1 месяц
14	4 года	Москва	Мужчина	24 года	Неоконченное высшее образование	Московский авиационный институт (национальный исследовательский университет), Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	180 000 ₽ на руки	Ноябрь 2023 — по настоящее время7 месяцев
15	12 лет	Ростов-на-Дону	Мужчина	33 года	Высшее образование	Южный Федеральный Университет	Русский — Родной	Занятость: полная занятость	25 000 ₽ на руки	Февраль 2012 — по настоящее время12 лет 4 месяца
16	17 лет	Санкт-Петербург	Мужчина	40 лет	Высшее образование	Санкт-Петербургский Государственный Университет Аэрокосмического Приборостроения	Английский — C2 — В совершенстве	Занятость: полная занятость	40 000 ₽ на руки	Май 2007 — по настоящее время17 лет 1 месяц
17	19 лет	Москва	Мужчина	40 лет	Высшее образование	МГТУ им. Баумана	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	150 000 ₽ на руки	Апрель 2017 — по настоящее время7 лет 2 месяца
18	9 лет	Кемерово	Женщина	30 лет	Высшее образование	РЭУ им. Г. В. Плеханова (бывш. РГТЭУ, КФ)	Русский — Родной Английский — A1 — Начальный Корейский — A1 — Начальный Японский — A1 — Начальный	Занятость: полная занятость	15 000 ₽ на руки	Апрель 2015 — по настоящее время9 лет 2 месяца
19	6 лет	Латвия	Мужчина	55 лет	Высшее образование	Рижский Технический Университет	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	200 000 ₽ на руки	Декабрь 2019 — по настоящее время4 года 6 месяцев
20	10 лет	Набережные Челны	Мужчина	32 года	Высшее образование (Бакалавр)	Филиал Казанского (Приволжского) федерального университета, Набережные Челны	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	40 000 ₽ на руки	Ноябрь 2013 — по настоящее время10 лет 7 месяцев
21	21 год	Вологда	Мужчина	44 года	Высшее образование	Вологодский государственный технический университет, Вологда	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	180 000 ₽ на руки	Апрель 2017 — по настоящее время7 лет 2 месяца
22	16 лет	Тольятти	Мужчина	39 лет	Высшее образование	" 	 Ульяновский Государственный Технический Университет"	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	35 000 ₽ на руки	Июнь 2010 — по настоящее время14 лет
23	35 лет	Красноярск	Мужчина	57 лет	Высшее образование	Красноярский завод-ВТУЗ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	100 000 ₽ на руки	Июнь 2021 — по настоящее время3 года
24	10 лет	Москва	Мужчина	53 года	Высшее образование	Московский авиационный институт (национальный исследовательский университет), Москва	Русский — Родной Английский — C1 — Продвинутый Украинский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость	250 000 ₽ на руки	Декабрь 2017 — по настоящее время6 лет 6 месяцев
25	28 лет	Тверь	Мужчина	62 года	Высшее образование	Московский физико-технический институт (Государственный университет), Долгопрудный	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	130 000 ₽ на руки	Январь 1996 — по настоящее время28 лет 5 месяцев
26	11 лет	Сергиев Посад	Мужчина		Неоконченное высшее образование	Филиал  Московского государственного университета приборостроения и информатики, Сергиев Посад	Русский — Родной	Занятость: полная занятость, частичная занятость, стажировка	40 000 ₽ на руки	Январь 2013 — по настоящее время11 лет 5 месяцев
27	18 лет	Архангельск	Мужчина	47 лет	Высшее образование	Северный институт предпринимательства, Архангельск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	70 000 ₽ на руки	Август 2005 — по настоящее время18 лет 10 месяцев
28	15 years	Tomsk	Male	38 years	Incomplete higher education	АлтГУ (Алтайский государственный университет; АГУ)	Russian — Native English — C1 — Advanced Japanese — A1 — Basic Polish — A1 — Basic	Employment: full time	2 000 $ in hand	January 2014 — currently10 years 5 months
29	8 лет	Дербент	Мужчина	24 года	Высшее образование (Бакалавр)	Волгоградский государственный университет, Волгоград	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость	60 000 ₽ на руки	Ноябрь 2015 — по настоящее время8 лет 7 месяцев
30	20 лет	Новосибирск	Мужчина	46 лет	Высшее образование	"НГПУ (Новосибирский государственный педагогический университет)	Новосибирск"	Русский — Родной	Занятость: полная занятость	25 000 ₽ на руки	Декабрь 2003 — по настоящее время20 лет 6 месяцев
31	20 лет	Москва	Мужчина	42 года	Высшее образование	"Национальный исследовательский университет ""Высшая школа экономики"", Москва"	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	100 000 ₽ на руки	Март 2016 — по настоящее время8 лет 3 месяца
32	16 лет	Ставрополь	Мужчина	31 год	Неоконченное высшее образование	Школа №1	Английский — C2 — В совершенстве Русский — C2 — В совершенстве	Занятость: полная занятость	5 000 ₽ на руки	Декабрь 2007 — по настоящее время16 лет 6 месяцев
33	10 лет	Саратов	Мужчина	30 лет	Высшее образование (Бакалавр)	Саратовский государственный технический университет им. Ю.А. Гагарина, Саратов	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость	25 000 ₽ на руки	Апрель 2014 — по настоящее время10 лет 2 месяца
34	14 лет	Пермь	Мужчина	37 лет	Высшее образование	Пермский государственный университет, Пермь	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	300 000 ₽ на руки	Июль 2020 — по настоящее время3 года 11 месяцев
35	24 года	Москва	Мужчина	52 года	Высшее образование	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	2 000 $ на руки	Январь 2000 — по настоящее время24 года 5 месяцев
36	19 лет	Челябинск	Женщина	40 лет	Неоконченное высшее образование	Южно-уральский институт управления и экономики, Челябинск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	18 000 ₽ на руки	Июль 2004 — по настоящее время19 лет 11 месяцев
37	11 лет	Слободской	Мужчина	37 лет	Высшее образование	Филиал Вятского социально-экономического института, Слободской	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	35 000 ₽ на руки	Март 2016 — по настоящее время8 лет 3 месяца
38	16 лет	Красноярск	Мужчина	43 года	Высшее образование	Сибирский государственный аэрокосмический университет им. академика М. Ф. Решетнева, Красноярск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	50 000 ₽ на руки	Декабрь 2010 — по настоящее время13 лет 6 месяцев
39	13 years	Izhevsk	Male	36 years	Higher education (master)	Ижевский государственный технический университет им. М.Т. Калашникова, Ижевск	Russian — Native English — B2 — Upper Intermediate German — C1 — Advanced	Employment: full time	50 000 ₽ in hand	January 2011 — currently13 years 5 months
40	37 лет	Санкт-Петербург	Мужчина	62 года	Высшее образование	Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича, Санкт-Петербург	Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	60 000 ₽ на руки	Июль 2015 — по настоящее время8 лет 11 месяцев
41	11 лет	Москва	Мужчина		Высшее образование (Бакалавр)	Московский государственный университет им. М.В. Ломоносова, Москва	Русский — Родной Английский — C2 — В совершенстве	Занятость: частичная занятость	50 000 ₽ на руки	Апрель 2013 — по настоящее время11 лет 2 месяца
42	18 лет	Москва	Женщина	40 лет	Высшее образование	Чувашский государственный университет имени И.Н. Ульянова	Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый	Занятость: полная занятость	40 000 ₽ на руки	Март 2008 — по настоящее время16 лет 3 месяца
43	6 лет	Москва	Мужчина	24 года	Среднее специальное образование	ГБПОУКГиТ41	Русский — Родной	Занятость: частичная занятость, проектная работа	5 000 ₽ на руки	Декабрь 2017 — по настоящее время6 лет 6 месяцев
44	18 лет	Кострома	Мужчина	39 лет	Высшее образование	Костромской государственный технологический университет, Кострома	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	50 000 ₽ на руки	Июнь 2006 — по настоящее время18 лет
45	13 лет	Нижний Новгород	Женщина	35 лет	Высшее образование	Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	80 000 ₽ на руки	Ноябрь 2013 — по настоящее время10 лет 7 месяцев
46	20 лет	Иваново (Ивановская область)	Мужчина	41 год	Высшее образование	Ярославский Государственный Технический Университет	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	30 000 ₽ на руки	Май 2010 — по настоящее время14 лет 1 месяц
47	12 лет	Москва	Мужчина	35 лет	Среднее специальное образование	ЭБК (Экономический Бизнес Колледж)	Русский — Родной Английский — B2 — Средне-продвинутый Украинский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость, стажировка	40 000 ₽ на руки	Январь 2012 — по настоящее время12 лет 5 месяцев
48	11 лет	Нижний Новгород	Женщина	36 лет	Высшее образование	ННГУ им. Лобачевского	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, проектная работа	50 000 ₽ на руки	Февраль 2014 — по настоящее время10 лет 4 месяца
49	29 лет	Балашиха	Мужчина	52 года	Образование		Английский — A1 — Начальный	Занятость: частичная занятость	90 000 ₽ на руки	Декабрь 2003 — по настоящее время20 лет 6 месяцев
50	12 лет	Кемерово	Мужчина	36 лет	Высшее образование	Кемеровский государственный университет, Кемерово	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	35 000 ₽ на руки	Май 2012 — по настоящее время12 лет 1 месяц
51	12 лет	Архангельск	Мужчина	47 лет	Высшее образование	Вельский коммерческо-экономический техникум	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	40 000 ₽ на руки	Сентябрь 2011 — по настоящее время12 лет 9 месяцев
52	11 лет	Раменское	Мужчина	58 лет	Среднее специальное образование	МХТТ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость, проектная работа	40 000 ₽ на руки	Март 2013 — по настоящее время11 лет 3 месяца
53	19 лет	Пятигорск	Мужчина	45 лет	Высшее образование	Бизнес ИТ г.Пятигорск	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость	30 000 ₽ на руки	Сентябрь 2014 — по настоящее время9 лет 9 месяцев
54	19 лет	Белгород	Мужчина	46 лет	Высшее образование	Бакинский Государственный Университет	Русский — Родной Азербайджанский — A1 — Начальный Английский — B2 — Средне-продвинутый Французский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	1 000 ₼ на руки	Январь 2005 — по настоящее время19 лет 5 месяцев
55	5 лет	Пермь	Мужчина	22 года	Среднее специальное образование	КГАПОУ Колледж Оникс	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, стажировка	30 000 ₽ на руки	Август 2018 — по настоящее время5 лет 10 месяцев
56	12 лет	Долгопрудный	Мужчина	34 года	Высшее образование	Российский химико-технологический университет им. Д.И. Менделеева, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	100 000 ₽ на руки	Июнь 2013 — по настоящее время11 лет
57	19 лет	Санкт-Петербург	Мужчина	39 лет	Высшее образование	Воронежский государственный университет, Воронеж	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	150 000 ₽ на руки	Май 2010 — по настоящее время14 лет 1 месяц
58	20 лет	Санкт-Петербург	Мужчина	44 года	Высшее образование	ЮУрГУ	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	45 000 ₽ на руки	Июнь 2005 — по настоящее время19 лет
59	17 лет	Москва	Мужчина	40 лет	Высшее образование	Московский государственный технический университет радиотехники, электроники и автоматики, Москва	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	70 000 ₽ на руки	Октябрь 2019 — по настоящее время4 года 8 месяцев
60	9 лет	Казань	Мужчина	24 года	Высшее образование (Бакалавр)	Казанский государственный энергетический университет, Казань	Русский — Родной Английский — C2 — В совершенстве Испанский — A1 — Начальный Немецкий — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	50 000 ₽ на руки	Май 2015 — по настоящее время9 лет 1 месяц
61	12 лет	Рыбинск	Мужчина	35 лет	Высшее образование	Российская академия народного хозяйства и государственной службы при Президенте РФ, Москва	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	35 000 ₽ на руки	Апрель 2012 — по настоящее время12 лет 2 месяца
62	7 лет	Тамбов	Мужчина	28 лет	Высшее образование	Тамбовский государственный технический университет, Тамбов	Русский — Родной	Занятость: полная занятость	100 000 ₽ на руки	Март 2020 — по настоящее время4 года 3 месяца
63	17 лет	Киров (Кировская область)	Мужчина	39 лет	Высшее образование	СыктГУ (Сыктывкарский государственный университет)	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	27 000 ₽ на руки	Сентябрь 2006 — по настоящее время17 лет 9 месяцев
64	29 лет	Уфа	Мужчина	47 лет	Высшее образование	Уфимский государственный авиационный технический университет, Уфа	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость	30 000 ₽ на руки	Август 1994 — по настоящее время29 лет 10 месяцев
65	7 лет	Казань	Мужчина	28 лет	Высшее образование (Бакалавр)	Казанский (Приволжский) федеральный университет, Казань	Русский — Родной	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	80 000 ₽ на руки	Март 2018 — по настоящее время6 лет 3 месяца
66	8 лет	Москва	Мужчина	29 лет	Среднее специальное образование	ЮНУСАБАДСКИЙ АКАДЕМИЧЕСКИЙ ЛИЦЕЙ ПРИ ТАШКЕНТСКОМ ИНСТИТУТЕ ИРРИГАЦИИ И МЕЛИОРАЦИИ - г. ТАШКЕНТ	Узбекский — Родной Английский — B2 — Средне-продвинутый Русский — C2 — В совершенстве	Занятость: полная занятость	400 000 ₽ на руки	Сентябрь 2015 — по настоящее время8 лет 9 месяцев
67	18 лет	Фурманов	Мужчина	44 года	Среднее специальное образование	Профессиональный лицей №7	Русский — Родной	Занятость: полная занятость, частичная занятость	100 000 ₽ на руки	Сентябрь 2005 — по настоящее время18 лет 9 месяцев
68	9 лет	Москва	Мужчина	29 лет	Высшее образование (Бакалавр)	Московский государственный университет им. М.В. Ломоносова, Москва	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость	250 000 ₽ на руки	Май 2019 — по настоящее время5 лет 1 месяц
69	21 год	Москва	Мужчина	45 лет	Высшее образование	МАИ	Английский — A1 — Начальный	Занятость: полная занятость	32 500 ₽ на руки	Сентябрь 2008 — по настоящее время15 лет 9 месяцев
70	21 год	Сатка	Мужчина	38 лет	Среднее специальное образование	Челябинский энергетический колледж им. с.м. кирова	Русский — Родной	Занятость: полная занятость, проектная работа	200 000 ₽ на руки	Январь 2003 — по настоящее время21 год 5 месяцев
71	18 лет	Киржач	Мужчина	39 лет	Среднее специальное образование	Филиал Московского государственного гуманитарного университета им. М.А. Шолохова, Покров	Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный	Занятость: полная занятость	60 000 ₽ на руки	Апрель 2011 — по настоящее время13 лет 2 месяца
72	13 лет	Пенза	Мужчина	35 лет	Высшее образование	Пензенская государственная технологическая академия, Пенза	Русский — Родной	Занятость: полная занятость	25 000 ₽ на руки	Ноябрь 2010 — по настоящее время13 лет 7 месяцев
73	3 года	Усолье-Сибирское	Мужчина	32 года	Образование	Ulbi Course	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	150 000 ₽ на руки	Август 2023 — по настоящее время10 месяцев
74	1 год	Ростов-на-Дону	Мужчина	31 год	Неоконченное высшее образование	Донской государственный технический университет, Ростов-на-Дону	Русский — Родной	Занятость: полная занятость	25 000 ₽ на руки	Сентябрь 2013 — Апрель 20148 месяцев
75	16 лет	Томск	Мужчина	48 лет	Высшее образование	Национальный исследовательский Томский государственный университет, Томск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	100 000 ₽ на руки	Март 2014 — по настоящее время10 лет 3 месяца
76	17 лет	Москва	Мужчина	38 лет	Высшее образование	Обнинский Государственный Технический Университет Атомной Энергетики (ИАТЭ)	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	50 000 ₽ на руки	Ноябрь 2009 — по настоящее время14 лет 7 месяцев
77	13 лет	Благовещенск (Амурская область)	Мужчина	39 лет	Неоконченное высшее образование	Амурский государственный университет, Благовещенск (Амурская область)	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость, проектная работа	50 000 ₽ на руки	Май 2011 — по настоящее время13 лет 1 месяц
78	6 лет	Москва	Мужчина	26 лет	Высшее образование (Бакалавр)	Московский авиационный институт (национальный исследовательский университет), Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	250 000 ₽ на руки	Март 2018 — по настоящее время6 лет 3 месяца
79	10 лет	Красноярск	Мужчина	29 лет	Высшее образование	Московский государственный университет экономики, статистики и информатики, Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	35 000 ₽ на руки	Январь 2021 — по настоящее время3 года 5 месяцев
80	9 лет	Москва	Мужчина	29 лет	Среднее специальное образование	ВЭТК	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	250 000 ₽ на руки	Ноябрь 2019 — по настоящее время4 года 7 месяцев
81	21 год	Ярославль	Женщина	42 года	Высшее образование	Ярославский государственный университет им. П.Г. Демидова, Ярославль	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	30 000 ₽ на руки	Февраль 2016 — по настоящее время8 лет 4 месяца
82	14 лет	Томск	Мужчина	42 года	Высшее образование	Тусур	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	40 000 ₽ на руки	Сентябрь 2014 — по настоящее время9 лет 9 месяцев
83	1 год	Санкт-Петербург	Мужчина	24 года	Среднее специальное образование	Санкт-Петербургский государственный политехнический университет, Санкт-Петербург	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	100 000 ₽ на руки	Сентябрь 2022 — по настоящее время1 год 9 месяцев
84	11 лет	Ставрополь	Мужчина	31 год	Высшее образование	Филиал Московского государственного университета приборостроения и информатики, Ставрополь	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость	30 000 ₽ на руки	Апрель 2013 — по настоящее время11 лет 2 месяца
85	10 лет	Пермь	Мужчина	37 лет	Образование		Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, стажировка	50 000 ₽ на руки	Январь 2018 — по настоящее время6 лет 5 месяцев
86	16 лет	Москва	Мужчина	36 лет	Высшее образование	"Национальный исследовательский ядерный университет ""МИФИ"", Москва"	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость	350 000 ₽ на руки	Август 2017 — по настоящее время6 лет 10 месяцев
87	8 лет	Москва	Мужчина	53 года	Высшее образование (Магистр)	Московский государственный университет им. М.В. Ломоносова, Москва	Русский — Родной	Занятость: полная занятость	60 000 ₽ на руки	Январь 2016 — по настоящее время8 лет 5 месяцев
88	14 лет	Москва	Мужчина	33 года	Высшее образование	Московский финансово-юридический университет (Московская финансово-юридическая академия), Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	75 000 ₽ на руки	Январь 2010 — по настоящее время14 лет 5 месяцев
89	6 лет	Казань	Мужчина	29 лет	Высшее образование	Казанский (Приволжский) федеральный университет, Казань	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	30 000 ₽ на руки	Июль 2017 — по настоящее время6 лет 11 месяцев
90	9 лет	Стерлитамак	Мужчина	28 лет	Неоконченное высшее образование	УГАТУ (Уфимский государственный авиационный технический университет)	Английский — A1 — Начальный	Занятость: полная занятость	25 000 ₽ на руки	Май 2015 — по настоящее время9 лет 1 месяц
91	17 лет	Ярославль	Мужчина	39 лет	Высшее образование	ЯрГУ им П.Г. Демидова	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	35 000 ₽ на руки	Апрель 2007 — по настоящее время17 лет 2 месяца
92	9 years	Saint Petersburg	Male	30 years	Higher education (PhD)	Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики, Санкт-Петербург	Russian — Native English — B2 — Upper Intermediate	Employment: full time, project work	9 000 $ in hand	June 2019 — currently5 years
93	19 лет	Орел	Мужчина	35 лет	Среднее специальное образование	НОУ СПО ОКИТ 	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	60 000 ₽ на руки	Февраль 2022 — по настоящее время2 года 4 месяца
94	9 лет	Волжский (Волгоградская область)	Мужчина	35 лет	Высшее образование	Волгоградский государственный технический университет, Волгоград	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	35 000 ₽ на руки	Октябрь 2021 — по настоящее время2 года 8 месяцев
